year,avg_temp,avg_temp_uncertainty
1936,5.5929166666666665,0.24416666666666667
1937,5.821166666666667,0.23016666666666666
1938,7.29725,0.25075000000000003
1939,7.15775,0.25125000000000003
1940,5.839083333333333,0.21341666666666667
1941,7.578583333333333,0.20916666666666667
1942,6.538416666666666,0.23425
1943,5.71725,0.23391666666666666
1944,7.1610000000000005,0.21933333333333332
1945,5.738416666666667,0.20216666666666666
1946,7.127250000000001,0.19058333333333333
1947,6.3420000000000005,0.213
1948,6.502833333333333,0.17358333333333334
1949,7.066583333333333,0.17941666666666667
1950,4.8254166666666665,0.20325
1951,5.075583333333333,0.2505
1952,6.841916666666667,0.158
1953,7.4025,0.1445
1954,6.901416666666667,0.19091666666666668
1955,6.768583333333333,0.194
1956,6.320749999999999,0.21683333333333335
1957,6.336166666666667,0.3555
1958,6.216833333333334,0.26608333333333334
1959,6.18575,0.24075
1960,6.23075,0.22691666666666666
1961,6.6785,0.20208333333333334
1962,5.98075,0.2564166666666667
1963,6.220583333333334,0.21733333333333332
1964,6.988166666666666,0.20333333333333334
1965,5.804999999999999,0.22658333333333333
1966,5.952500000000001,0.22116666666666668
1967,5.648083333333334,0.227
1968,6.7884166666666665,0.1805
1969,6.048333333333334,0.1905
1970,6.2484166666666665,0.19858333333333333
1971,6.2571666666666665,0.21408333333333332
1972,5.098916666666667,0.20908333333333334
1973,7.460583333333334,0.21575
1974,6.285083333333334,0.22591666666666665
1975,6.575583333333333,0.22983333333333333
1976,5.867916666666667,0.22683333333333333
1977,6.6975,0.21933333333333332
1978,5.603666666666667,0.23233333333333334
1979,5.317666666666667,0.20416666666666666
1980,6.2973333333333334,0.17975
1981,7.023333333333334,0.2185
1982,5.886,0.20400000000000001
1983,6.92375,0.21608333333333332
1984,6.8293333333333335,0.20183333333333334
1985,5.857000000000001,0.23925000000000002
1986,6.869166666666667,0.21308333333333335
1987,8.509833333333335,0.22366666666666668
1988,6.892083333333334,0.23066666666666666
1989,5.675166666666667,0.2245
1990,7.523583333333334,0.23275
1991,7.091416666666667,0.19375
1992,6.462166666666667,0.25883333333333336
1993,5.9135,0.23641666666666666
1994,6.5998333333333346,0.21258333333333335
1995,6.4995,0.198
1996,5.240166666666667,0.187
1997,6.3839999999999995,0.22983333333333333
1998,8.905333333333333,0.18816666666666668
1999,7.84,0.20975
2000,7.023666666666667,0.20800000000000002
2001,7.817916666666667,0.20058333333333334
2002,7.421666666666667,0.19016666666666668
2003,6.639833333333334,0.24150000000000002
2004,6.819,0.23733333333333334
2005,7.6615,0.19783333333333333
2006,8.152083333333334,0.22341666666666668
2007,7.489916666666668,0.19116666666666668
2008,5.903583333333334,0.19308333333333333
2009,6.204666666666666,0.23308333333333334
2010,7.86925,0.2604166666666667
2011,7.191166666666667,0.268
2012,8.9591666666666665,0.30683333333333335
2013,8.085333333333333,0.3486666666666667
