year,commodity,tonnes_per_ha
1998,soybeans,2.6169
1998,potatoes,38.4419
1998,beans,1.7778
1998,peas,2.377
1998,barley,3.2310000000000003
1998,bananas,16.5652
1999,wheat,2.8726000000000003
1999,rice,6.5753
1999,maize,8.3977
1999,soybeans,2.4634
1999,potatoes,40.2366
1999,beans,1.9756
1999,peas,2.3855
1999,barley,3.2
1999,bananas,19.4052
2000,wheat,2.8238000000000003
2000,rice,7.039700000000001
2000,maize,8.5911
2000,soybeans,2.5614000000000003
2000,potatoes,42.7161
2000,beans,1.8404
2000,peas,2.2124
2000,barley,3.2881
2000,bananas,22.2572
2001,wheat,2.7018
2001,rice,7.2807
2001,maize,8.673300000000001
2001,soybeans,2.6639
2001,potatoes,40.1803
2001,beans,1.7584000000000002
2001,peas,2.1933
2001,barley,3.1267
2001,bananas,21.063
2002,wheat,2.3567
2002,rice,7.373
2002,maize,8.118
2002,soybeans,2.5567
2002,potatoes,40.5669
2002,beans,1.9538
2002,peas,1.8558
2002,barley,2.9609
2002,bananas,16.858700000000002
2003,wheat,2.9712
2003,rice,7.4759
2003,maize,8.9246
2003,soybeans,2.2769
2003,potatoes,41.0985
2003,beans,1.8717
2003,peas,1.7749
2003,barley,3.1673
2003,bananas,18.7747
2004,wheat,2.9026
2004,rice,7.832800000000001
2004,maize,10.0637
2004,soybeans,2.8405
2004,potatoes,43.8152
2004,beans,1.6404
2004,peas,2.5204
2004,barley,3.7429
2004,bananas,18.5926
2005,wheat,2.8231
2005,rice,7.4245
2005,maize,9.2852
2005,soybeans,2.8961
2005,potatoes,43.7303
2005,beans,1.9512
2005,peas,2.0492
2005,barley,3.4873000000000003
2005,bananas,23.8791
2006,wheat,2.5986
2006,rice,7.7313
2006,maize,9.3577
2006,soybeans,2.8817
2006,potatoes,44.0949
2006,beans,1.7677
2006,peas,1.6738000000000002
2006,barley,3.2846
2006,bananas,19.037000000000003
2007,wheat,2.7046
2007,rice,8.091700000000001
2007,maize,9.4585
2007,soybeans,2.8067
2007,potatoes,44.433600000000006
2007,beans,1.9387
2007,peas,2.2501
2007,barley,3.2279
2007,bananas,22.076
2008,wheat,3.0175
2008,rice,7.673100000000001
2008,maize,9.6209
2008,soybeans,2.6718
2008,potatoes,44.4373
2008,beans,1.9822
2008,peas,1.6231
2008,barley,3.4072
2008,bananas,17.7303
2009,wheat,2.9897
2009,rice,7.9413
2009,maize,10.3181
2009,soybeans,2.9595
2009,potatoes,46.4446
2009,beans,1.9429
2009,peas,2.2924
2009,barley,3.915
2009,bananas,18.8539
2010,wheat,3.1167
2010,rice,7.5375
2010,maize,9.5757
2010,soybeans,2.9243
2010,potatoes,44.9438
2010,beans,1.9343
2010,peas,2.2405
2010,barley,3.9339
2010,bananas,18.1438
2011,wheat,2.9422
2011,rice,7.9209
2011,maize,9.2146
2011,soybeans,2.8232
2011,potatoes,44.6923
2011,beans,1.9089
2011,peas,1.8392
2011,barley,3.716
2011,bananas,19.4889
2012,wheat,3.1154
2012,rice,8.3651
2012,maize,7.727
2012,soybeans,2.6867
2012,potatoes,45.7762
2012,beans,2.1168
2012,peas,1.9842
2012,barley,3.5986
2012,bananas,18.1845
2013,wheat,3.1673
2013,rice,8.6232
2013,maize,9.9256
2013,soybeans,2.9615
2013,potatoes,46.3577
2013,beans,2.0927
2013,peas,2.1967000000000003
2013,barley,3.8358
2013,bananas,18.1923
2014,wheat,2.9378
2014,rice,8.491900000000001
2014,maize,10.7326
2014,soybeans,3.1977
2014,potatoes,47.1507
2014,beans,1.9655
2014,peas,2.1376
2014,barley,3.9115
2014,bananas,18.7701
2015,wheat,2.9299
2015,rice,8.372200000000001
2015,maize,10.5723
2015,soybeans,3.2289000000000003
2015,potatoes,46.900000000000006
2015,beans,1.9729
2015,peas,1.8915
2015,barley,3.7083
2015,bananas,16.1994
2016,wheat,3.5408000000000004
2016,rice,8.1121
2016,maize,11.7433
2016,soybeans,3.4936000000000003
2016,potatoes,48.640800000000006
2016,beans,2.0648
2016,peas,2.3382
2016,barley,4.1931
2016,bananas,11.5204
2017,wheat,3.1175
2017,rice,8.4147
2017,maize,11.8754
2017,soybeans,3.3133000000000004
2017,potatoes,48.388200000000005
2017,beans,1.9927
2017,peas,1.5131
2017,barley,3.9283
2017,bananas,15.8413
2018,wheat,3.1999
2018,rice,8.6211
2018,maize,11.8639
2018,soybeans,3.4681
2018,potatoes,49.7624
2018,beans,2.0843000000000003
2018,peas,2.2099
2018,barley,4.1637
2018,bananas,16.375600000000002
